,Unnamed: 0,id,review,category,rating,city,lat,lon,ratingscore
76,76,CaBEuv0VA2UW3bh4ea9tww,101,mexican,4.5,Annapolis,38.97792,-76.53628,0.044554455
296,297,k7OBrHxJcW36A6yJkWvAvA,112,mexican,4.5,Baton Rouge,30.41829184,-91.14249062,0.040178571
344,345,NGFkH7NYW1qp8zfm8gyggg,53,mexican,4.5,Mandan,46.81942792,-100.8538749,0.08490566
830,831,ezUKFaVKHqgb6OEN5akdiw,161,mexican,4.5,Des Moines,41.6006,-93.63453,0.027950311
1077,1078,xPUslnlhDm4OtyFTM61ZMw,80,mexican,4.5,Palos Verdes Estates,33.7748,-118.41771,0.05625
1369,1371,3zoZrT-rMD9Xdc5_MEKIEQ,36,mexican,4.5,Lansing,42.747483,-84.54787,0.125
1419,1421,MPseicehLIesyKb9Oag5YA,151,mexican,4.5,Lincoln,40.82771,-96.6447,0.029801325
1986,1989,aNvB-zyDq_yChSg-r_27Qg,154,mexican,5,Richmond,37.50357,-77.51509,0.032467532
2295,2298,#NAME?,123,mexican,4.5,Springfield,37.181438,-93.243485,0.036585366
2332,2335,XDXHIKkqn81SdMdXEYIfdA,74,mexican,4.5,Tallahassee,30.43531,-84.28881,0.060810811
2374,2378,CDIj6KinFNYOb-CvI3CE7g,61,mexican,4.5,Topeka,39.0371187,-95.6997302,0.073770492
