id,review,category,rating,city,lat,lon,ratingscore
_B1cUndZBV_6dkP6Veea4g,658,newmexican,4,Santa Fe,35.67913,-105.95278,0.006079027
nFXQ5OxdpKrNp72j79EWuQ,143,mexican,4,Albany,42.66194,-73.76964,0.027972028
CaBEuv0VA2UW3bh4ea9tww,101,mexican,4.5,Annapolis,38.97792,-76.53628,0.044554455
IGvh8QfJjFecc3toQAQTHw,312,mexican,4.5,Augusta,33.5137289,-82.05427095,0.014423077
k7OBrHxJcW36A6yJkWvAvA,112,mexican,4.5,Baton Rouge,30.41829184,-91.14249062,0.040178571
U3oU0FMdPwUAa06sKwRRXA,36,mexican,4,Bismarck,46.8550364,-100.77042,0.111111111
NGFkH7NYW1qp8zfm8gyggg,53,mexican,4.5,Mandan,46.81942792,-100.8538749,0.08490566
P_XUt3xD-KItQBqBKCiRGw,173,mexican,4.5,Boise,43.620076,-116.2772426,0.026011561
cXknNz7IvXv6GIXT-UbICA,168,mexican,4.5,Carson City,39.16879,-119.72473,0.026785714
vYQw180dVmgBzjDjTbGIjQ,135,mexican,4,Cheyenne,41.13404846,-104.8109131,0.02962963
QUH1TFOJFn6pM2Ds60_uew,513,mexican,4.5,Columbia,34.03378,-81.12519,0.00877193
W0Bv_DEic2rGX-3qkv5aaw,804,mexican,4.5,Concord,37.95145434,-122.0428652,0.005597015
ezUKFaVKHqgb6OEN5akdiw,161,mexican,4.5,Des Moines,41.6006,-93.63453,0.027950311
ep0b13pJhM3Ot4iCcSYcbQ,138,mexican,4,Dover,39.13754,-75.4949199,0.028985507
ocazaWtmzFslSW4jfRrkWA,515,mexican,3.5,Frankfort,41.498284,-87.850652,0.006796117
DlImV1ouCzGvjf0jsoDqwA,224,mexican,4,Harrisburg,40.26025,-76.87998,0.017857143
ycwjhzfgARLoFC6x83MSrg,363,mexican,3.5,Hartford,41.768546,-72.6782116,0.009641873
tC1I63iH7sALFIbeY4rtVA,513,mexican,3.5,Rolling Hills Estates,33.77105,-118.36868,0.006822612
xPUslnlhDm4OtyFTM61ZMw,80,mexican,4.5,Palos Verdes Estates,33.7748,-118.41771,0.05625
kHT-uvjpStFv2WWg6u2W0Q,244,mexican,4,Rancho Palos Verdes,33.74843737,-118.4057256,0.016393443
tMblql2_RxgBJmn65RtTmg,688,mexican,4.5,Honolulu,21.35241,-157.85787,0.006540698
w2O0CQ_cIeje-5VM77SR0g,231,mexican,4,Indianapolis,39.86957262,-86.14155715,0.017316017
5IAE02o73LCPrkTb6Q3Pig,64,mexican,4,Jackson,32.33444638,-90.17634629,0.0625
Zei5x0_Vej-wm7xsZZEkIQ,98,mexican,4,Juneau,58.30124519,-134.4083876,0.040816327
3zoZrT-rMD9Xdc5_MEKIEQ,36,mexican,4.5,Lansing,42.747483,-84.54787,0.125
MPseicehLIesyKb9Oag5YA,151,mexican,4.5,Lincoln,40.82771,-96.6447,0.029801325
IhQcF2m9RLOv1pbowr4Vnw,236,mexican,4,Little Rock,34.76796187,-92.45948954,0.016949153
QZ76luDQvdIxO_olkow-4w,147,mexican,4,Montgomery,32.360674,-86.157228,0.027210884
0VA5K4tyuEu9xVph5uliYQ,48,mexican,4,Orange,38.2492,-78.11275,0.083333333
rAmgoeSdTE6JXJEV28RYhw,108,mexican,4,Oklahoma City,35.48571,-97.54037,0.037037037
nwI9Qu8Ngpc8ORskRIB0Kw,383,mexican,4,Olympia,47.05419159,-122.7730484,0.010443864
iXV2kGGyXJlKM8JKek-HNg,288,mexican,4.5,Phoenix,33.45040691,-112.0739261,0.015625
etCLTeQQz30BZD-L_Zs0Dg,42,mexican,3,Pierre,44.368958,-100.356984,0.071428571
aNvB-zyDq_yChSg-r_27Qg,154,mexican,5,Richmond,37.50357,-77.51509,0.032467532
#NAME?,517,mexican,4.5,Sacramento,38.57040903,-121.4571579,0.008704062
fafGGHMCo58hr4sxsYa5qg,217,mexican,4,Saint Paul,44.935295,-93.116368,0.01843318
MVAxCOeQaHn2Ne238LUvkw,59,mexican,3.5,Salem,42.52008719,-70.89269098,0.059322034
U2Pt8UhToUqjy0BdPslUZA,801,mexican,4.5,Salt Lake City,40.76476,-111.90008,0.005617978
#NAME?,123,mexican,4.5,Springfield,37.181438,-93.243485,0.036585366
XDXHIKkqn81SdMdXEYIfdA,74,mexican,4.5,Tallahassee,30.43531,-84.28881,0.060810811
CDIj6KinFNYOb-CvI3CE7g,61,mexican,4.5,Topeka,39.0371187,-95.6997302,0.073770492
